RowName,RowValue
19830101.tif,0
19830102.tif,0
19830103.tif,0
19830110.tif,0
19830111.tif,0
19830112.tif,0
19830113.tif,0
19830114.tif,0
19830115.tif,0
19830123.tif,0
19830129.tif,0
19830201.tif,0
19830202.tif,0
19830203.tif,0
19830204.tif,0
19830205.tif,0
19830206.tif,0
19830207.tif,0
19830208.tif,0
19830209.tif,0
19830210.tif,0
19830212.tif,0
19830213.tif,0
19830214.tif,0
19830216.tif,0
19830217.tif,0
19830219.tif,0
19830220.tif,0
19830221.tif,0
19830222.tif,0
19830223.tif,0
19830224.tif,0
19830225.tif,0
19830226.tif,0
19830227.tif,0
19830228.tif,0
19830301.tif,0
19830302.tif,0.00551156
19830303.tif,0.00429558
19830304.tif,0
19830305.tif,0
19830306.tif,0
19830307.tif,0
19830308.tif,0
19830309.tif,0
19830310.tif,0
19830311.tif,0
19830312.tif,0
19830313.tif,0
19830314.tif,0
19830315.tif,0
19830316.tif,0
19830317.tif,0
19830318.tif,0
19830319.tif,0
19830320.tif,0
19830321.tif,0
19830322.tif,0
19830323.tif,0
19830324.tif,0
19830325.tif,0
19830326.tif,0
19830327.tif,0
19830328.tif,0
19830329.tif,0
19830331.tif,0
19830401.tif,0
19830402.tif,0
19830403.tif,0
19830404.tif,0
19830405.tif,0
19830406.tif,0
19830407.tif,0
19830409.tif,0
19830410.tif,0
19830411.tif,0
19830412.tif,0
19830413.tif,3.37064
19830414.tif,0
19830415.tif,0
19830416.tif,0
19830417.tif,0
19830418.tif,0
19830419.tif,0
19830420.tif,0
19830421.tif,0
19830422.tif,0
19830423.tif,0
19830424.tif,0
19830501.tif,0
19830502.tif,0
19830503.tif,0
19830504.tif,0
19830505.tif,-2.74303e-09
19830506.tif,-0.00192541
19830507.tif,0
19830508.tif,0.00647716
19830509.tif,0
19830510.tif,0
19830511.tif,0
19830512.tif,27.0669
19830513.tif,2.77431
19830514.tif,0
19830515.tif,0
19830516.tif,0
19830517.tif,0
19830518.tif,0
19830519.tif,0
19830520.tif,0
19830521.tif,0
19830522.tif,0
19830523.tif,5.20881
19830524.tif,0
19830525.tif,0
19830526.tif,0
19830527.tif,0
19830528.tif,0
19830529.tif,0
19830530.tif,0
19830531.tif,-1.86836e-08
19830601.tif,0.00277637
19830602.tif,0
19830603.tif,3.30439
19830604.tif,2.0287
19830605.tif,0
19830606.tif,0
19830607.tif,6.49006
19830608.tif,33.0464
19830609.tif,5.16705
19830610.tif,0
19830611.tif,3.09698
19830612.tif,3.53243
19830613.tif,0
19830615.tif,4.6811
19830616.tif,54.0555
19830617.tif,-3.14162e-06
19830619.tif,0
19830620.tif,27.7093
19830621.tif,3.33895
19830622.tif,15.7266
19830623.tif,0
19830624.tif,0
19830625.tif,5.03805
19830626.tif,0
19830627.tif,0
19830628.tif,0
19830629.tif,6.24306
19830702.tif,0.00259308
19830703.tif,12.8782
19830704.tif,3.53786
19830705.tif,0
19830706.tif,11.9446
19830707.tif,15.4584
19830708.tif,28.9187
19830709.tif,0
19830710.tif,0
19830711.tif,2.62738
19830713.tif,6.29389
19830714.tif,9.94986
19830715.tif,-4.49101e-06
19830717.tif,17.8988
19830718.tif,0
19830719.tif,12.5351
19830721.tif,0
19830723.tif,27.6168
19830724.tif,0
19830725.tif,4.15893
19830726.tif,0
19830727.tif,2.71231
19830728.tif,0
19830729.tif,1.96842e-11
19830730.tif,14.2341
19830731.tif,2.6868
19830801.tif,4.72625
19830802.tif,0
19830803.tif,0
19830804.tif,0
19830805.tif,8.17853
19830806.tif,14.6157
19830807.tif,50.0115
19830808.tif,-3.08546e-05
19830809.tif,0
19830810.tif,14.9578
19830811.tif,10.3894
19830812.tif,-0.000150133
19830813.tif,0
19830814.tif,11.3162
19830815.tif,26.5007
19830816.tif,0
19830817.tif,0
19830818.tif,0.00443376
19830819.tif,0
19830820.tif,25.0557
19830821.tif,0
19830822.tif,11.7734
19830823.tif,5.91486
19830824.tif,14.535
19830825.tif,23.8245
19830826.tif,3.94264
19830827.tif,0
19830828.tif,7.34608
19830829.tif,0
19830830.tif,23.6462
19830831.tif,0
19830901.tif,15.0405
19830902.tif,17.3808
19830903.tif,5.65687
19830904.tif,9.54609
19830905.tif,5.28447
19830906.tif,0
19830907.tif,5.96023
19830908.tif,16.3148
19830909.tif,5.63684
19830910.tif,0
19830911.tif,3.8284
19830912.tif,4.07849
19830913.tif,0
19830915.tif,15.683
19830916.tif,3.55033
19830917.tif,7.199
19830918.tif,6.38746e-08
19830919.tif,52.9363
19830920.tif,-0.0026748
19830921.tif,4.65131
19830922.tif,3.57872
19830923.tif,4.39964
19830924.tif,0
19830925.tif,0
19830926.tif,-1.78489e-05
19830927.tif,0
19830928.tif,-9.93896e-06
19830929.tif,0
19830930.tif,0.0215002
19831001.tif,-0.00796362
19831002.tif,15.8509
19831003.tif,0
19831004.tif,32.4571
19831005.tif,3.17046
19831006.tif,0
19831007.tif,-0.00480655
19831008.tif,0
19831009.tif,0
19831010.tif,0
19831011.tif,0
19831012.tif,0
19831013.tif,0
19831014.tif,0
19831015.tif,0
19831016.tif,0
19831017.tif,0
19831018.tif,0
19831019.tif,0
19831020.tif,0
19831021.tif,0
19831022.tif,0
19831023.tif,0
19831024.tif,0
19831025.tif,0
19831026.tif,0
19831027.tif,0
19831028.tif,0
19831029.tif,0
19831030.tif,0
19831031.tif,0
19831101.tif,0
19831103.tif,0
19831104.tif,0
19831105.tif,0
19831106.tif,0
19831107.tif,0
19831108.tif,0
19831109.tif,0
19831110.tif,0
19831114.tif,0
19831115.tif,0
19831116.tif,0
19831117.tif,0
19831118.tif,0
19831119.tif,0
19831120.tif,0
19831121.tif,0
19831122.tif,0
19831123.tif,0
19831124.tif,0
19831125.tif,0
19831126.tif,0
19831127.tif,0
19831128.tif,0
19831129.tif,0
19831130.tif,0
19831201.tif,0
19831202.tif,0
19831203.tif,0
19831204.tif,0
19831205.tif,0
19831206.tif,0
19831207.tif,0
19831208.tif,0
19831209.tif,0
19831210.tif,0
19831211.tif,0
19831212.tif,0
19831213.tif,0
19831214.tif,0
19831215.tif,0
19831216.tif,0
19831217.tif,0
19831218.tif,0
19831219.tif,0
19831220.tif,0
19831221.tif,0
19831222.tif,0
19831223.tif,0
19831224.tif,0
19831225.tif,0
19831226.tif,0
19831227.tif,0
19831228.tif,0
19831229.tif,0
19831230.tif,0
19831231.tif,0
19840101.tif,0
19840102.tif,0
19840103.tif,0
19840104.tif,0
19840105.tif,0
19840106.tif,0
19840107.tif,0
19840108.tif,0
19840109.tif,0
19840110.tif,0
19840112.tif,0
19840113.tif,0
19840114.tif,0
19840115.tif,0
19840116.tif,0
19840117.tif,0
19840118.tif,0
19840119.tif,0
19840120.tif,0
19840121.tif,0
19840122.tif,0
19840123.tif,0
19840124.tif,0
19840125.tif,0
19840126.tif,0
19840127.tif,0
19840128.tif,0
19840129.tif,0
19840130.tif,0
19840131.tif,0
19840201.tif,0
19840202.tif,0
19840203.tif,0
19840204.tif,0
19840205.tif,0
19840206.tif,0
19840208.tif,0
19840209.tif,0
19840210.tif,0
19840211.tif,0
19840212.tif,0
19840213.tif,0
19840216.tif,0
19840217.tif,0
19840218.tif,0
19840219.tif,0
19840220.tif,0
19840221.tif,0
19840222.tif,0
19840223.tif,0
19840224.tif,0
19840225.tif,0
19840226.tif,0
19840227.tif,0
19840228.tif,0
19840229.tif,0
19840301.tif,0
19840302.tif,0
19840303.tif,0
19840304.tif,0
19840305.tif,0
19840306.tif,0
19840307.tif,0
19840308.tif,0
19840309.tif,0
19840310.tif,0
19840311.tif,0
19840312.tif,0
19840313.tif,0
19840314.tif,0
19840315.tif,0
19840316.tif,0
19840317.tif,0
19840318.tif,0
19840319.tif,0
19840320.tif,0
19840321.tif,0
19840322.tif,0
19840323.tif,0
19840324.tif,0
19840325.tif,0
19840326.tif,0
19840327.tif,0
19840328.tif,0
19840329.tif,0
19840330.tif,0
19840331.tif,6.92692
19840401.tif,0
19840402.tif,0
19840403.tif,0
19840404.tif,0
19840405.tif,0
19840406.tif,0
19840407.tif,0
19840408.tif,0
19840409.tif,0
19840410.tif,0
19840411.tif,0
19840412.tif,0
19840413.tif,0
19840414.tif,0
19840415.tif,0
19840416.tif,0
19840417.tif,0
19840418.tif,0
19840419.tif,0
19840420.tif,0
19840421.tif,0
19840422.tif,0
19840423.tif,0
19840424.tif,0
19840425.tif,0
19840426.tif,0
19840427.tif,0
19840428.tif,0
19840429.tif,0
19840430.tif,0
19840501.tif,0
19840502.tif,0
19840503.tif,0
19840504.tif,0
19840505.tif,0
19840506.tif,0
19840507.tif,0
19840508.tif,0
19840509.tif,0
19840510.tif,0
19840511.tif,0
19840512.tif,0
19840513.tif,0
19840514.tif,0
19840515.tif,-2.85914e-06
19840516.tif,5.47434e-06
19840517.tif,21.9451
19840518.tif,-8.19346e-06
19840519.tif,0.0112932
19840520.tif,14.863
19840521.tif,26.6154
19840522.tif,0
19840523.tif,0
19840524.tif,0
19840525.tif,0.00550283
19840526.tif,0
19840527.tif,0
19840528.tif,5.91352
19840529.tif,0
19840530.tif,0.00193016
19840531.tif,0
19840601.tif,0
19840602.tif,0
19840603.tif,13.8787
19840604.tif,0
19840605.tif,0
19840606.tif,52.5577
19840607.tif,0
19840608.tif,0
19840609.tif,23.9834
19840610.tif,18.2345
19840611.tif,11.7208
19840612.tif,9.41064
19840613.tif,0
19840614.tif,6.43451
19840615.tif,-2.38049e-05
19840616.tif,0
19840617.tif,0
19840618.tif,0
19840619.tif,0
19840620.tif,0
19840621.tif,0
19840622.tif,0
19840623.tif,0
19840624.tif,0
19840625.tif,0
19840627.tif,0
19840628.tif,21.0968
19840629.tif,46.1759
19840630.tif,0
19840701.tif,0
19840702.tif,19.8152
19840703.tif,0
19840704.tif,0
